epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,23713.8,0.93456,0.68161,1.14571,0.78532,0.65826,0.69788,0.4471,1.39137,1.20044,1.40459,0.000402084,0.000402084,0.000402084
87,23989.1,0.92916,0.68293,1.14604,0.78353,0.65815,0.69836,0.44703,1.39033,1.19868,1.40381,0.000391966,0.000391966,0.000391966
88,24274.3,0.92821,0.67664,1.14114,0.78785,0.65732,0.69738,0.44617,1.39085,1.19767,1.40483,0.000381899,0.000381899,0.000381899
89,24553.9,0.91917,0.66501,1.13833,0.77699,0.6641,0.69746,0.44659,1.39046,1.19755,1.40392,0.000371885,0.000371885,0.000371885
90,24829,0.91725,0.67188,1.13612,0.78178,0.66135,0.69708,0.4473,1.39005,1.1966,1.40372,0.000361929,0.000361929,0.000361929
91,25103.2,0.91704,0.66807,1.13413,0.77989,0.66078,0.69706,0.44751,1.38931,1.19744,1.40424,0.000352037,0.000352037,0.000352037
92,25376.6,0.90772,0.6644,1.13107,0.7827,0.65832,0.69746,0.44774,1.38922,1.19886,1.40474,0.000342211,0.000342211,0.000342211
93,25650.2,0.90647,0.6606,1.13135,0.78843,0.65649,0.69736,0.44839,1.38846,1.19921,1.40461,0.000332457,0.000332457,0.000332457
94,25926.8,0.90478,0.65355,1.12872,0.78609,0.66027,0.69773,0.449,1.38894,1.19804,1.40602,0.000322778,0.000322778,0.000322778
95,26207.2,0.89416,0.64103,1.1202,0.78519,0.65968,0.69802,0.44871,1.38952,1.19712,1.40696,0.00031318,0.00031318,0.00031318
96,26483,0.89134,0.6393,1.11976,0.78138,0.66096,0.69796,0.44861,1.38961,1.1978,1.40742,0.000303665,0.000303665,0.000303665
97,26758.8,0.884,0.63217,1.11665,0.78545,0.6609,0.6978,0.44872,1.38908,1.19903,1.40659,0.000294239,0.000294239,0.000294239
98,27034.4,0.89054,0.63566,1.11653,0.78405,0.66138,0.6978,0.44882,1.38862,1.19878,1.4063,0.000284906,0.000284906,0.000284906
99,27309,0.89117,0.63392,1.11855,0.78159,0.6618,0.69738,0.44882,1.38894,1.20023,1.40681,0.000275668,0.000275668,0.000275668
100,27588.2,0.87757,0.62924,1.11305,0.77974,0.66062,0.69723,0.44785,1.38813,1.20021,1.40651,0.000266532,0.000266532,0.000266532
101,27866.2,0.87033,0.62728,1.11327,0.77931,0.66127,0.69695,0.44851,1.38804,1.20007,1.40711,0.0002575,0.0002575,0.0002575
