epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,22072.6,0.90922,0.64219,1.09857,0.8959,0.86336,0.9128,0.62959,1.23135,0.6543,1.27918,0.002278,0.002278,0.002278
80,22346.1,0.89419,0.63103,1.09324,0.89956,0.86419,0.91405,0.63038,1.23221,0.65363,1.27926,0.002179,0.002179,0.002179
81,22623.7,0.89915,0.6359,1.09689,0.89913,0.86274,0.91417,0.63136,1.23167,0.65284,1.27846,0.00208,0.00208,0.00208
82,22890.1,0.88674,0.622,1.08845,0.89942,0.86331,0.91442,0.63106,1.23104,0.65243,1.27804,0.001981,0.001981,0.001981
83,23161.3,0.88253,0.62345,1.08968,0.89881,0.86585,0.91422,0.63236,1.23105,0.65144,1.27799,0.001882,0.001882,0.001882
84,23434.2,0.88105,0.62192,1.08757,0.90055,0.86211,0.91404,0.6316,1.23071,0.65063,1.27802,0.001783,0.001783,0.001783
85,23704.2,0.88069,0.62233,1.08417,0.9029,0.86081,0.91318,0.6316,1.23046,0.65076,1.27765,0.001684,0.001684,0.001684
86,23979.1,0.8787,0.61632,1.08445,0.90204,0.86257,0.91374,0.62943,1.23103,0.65012,1.27837,0.001585,0.001585,0.001585
87,24253.6,0.86895,0.61035,1.08157,0.9042,0.86014,0.9137,0.62979,1.23038,0.65052,1.27798,0.001486,0.001486,0.001486
88,24536.4,0.86272,0.59857,1.07589,0.90177,0.86086,0.91371,0.63127,1.23104,0.65035,1.27868,0.001387,0.001387,0.001387
89,24817,0.86534,0.59819,1.07845,0.9027,0.85886,0.91382,0.63157,1.23102,0.6503,1.27861,0.001288,0.001288,0.001288
90,25093.5,0.8657,0.59942,1.07537,0.90245,0.85842,0.91368,0.63158,1.23111,0.64971,1.27866,0.001189,0.001189,0.001189
91,25355.5,0.83453,0.46798,1.04916,0.89748,0.86337,0.91387,0.63133,1.23112,0.64924,1.27887,0.00109,0.00109,0.00109
92,25617.1,0.81651,0.45208,1.03649,0.89828,0.86312,0.91394,0.63189,1.23142,0.64862,1.27921,0.000991,0.000991,0.000991
93,25879.9,0.80729,0.44157,1.0313,0.90254,0.85828,0.91367,0.63285,1.23111,0.64834,1.27909,0.000892,0.000892,0.000892
94,26150.6,0.80289,0.44051,1.03291,0.90268,0.85672,0.91387,0.63331,1.2317,0.64771,1.27941,0.000793,0.000793,0.000793
95,26409.6,0.79512,0.43676,1.02579,0.9008,0.85789,0.91409,0.63386,1.23183,0.64735,1.27972,0.000694,0.000694,0.000694
96,26663.6,0.79029,0.43235,1.02596,0.88558,0.87141,0.91359,0.63327,1.2317,0.64685,1.27961,0.000595,0.000595,0.000595
97,26922.1,0.78198,0.4298,1.02344,0.88552,0.87156,0.91357,0.63275,1.23129,0.64686,1.27947,0.000496,0.000496,0.000496
98,27182.4,0.77839,0.42532,1.02156,0.88278,0.87489,0.91433,0.63355,1.23134,0.64723,1.27953,0.000397,0.000397,0.000397
99,27442.1,0.77654,0.42247,1.01885,0.88599,0.87572,0.9148,0.63402,1.23186,0.64676,1.27998,0.000298,0.000298,0.000298
100,27702.1,0.77224,0.41914,1.01341,0.88522,0.87543,0.91417,0.63433,1.23219,0.64696,1.28038,0.000199,0.000199,0.000199
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),,,,,,
1,294.663,1.185,2.01577,1.33482,0.40683,0.6179,0.52739,0.30187,,,,,,
2,579.519,1.14173,1.37074,1.28561,0.64885,0.61636,0.6824,0.40853,,,,,,
3,863.025,1.14247,1.2389,1.2844,0.73806,0.63448,0.71358,0.41957,,,,,,
'',,,,,,,,,,,,,,
98,27182.4,0.77839,0.42532,1.02156,0.88278,0.87489,0.91433,0.63355,,,,,,
99,27442.1,0.77654,0.42247,1.01885,0.88599,0.87572,0.9148,0.63402,,,,,,
100,27702.1,0.77224,0.41914,1.01341,0.88522,0.87543,0.91417,0.63433,,,,,,
