epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,6951.32,1.0301,0.72849,1.17791,0.79779,0.65456,0.66605,0.37031,1.82423,1.18142,2.20423,0.0005546,0.0005546,0.0005546
75,7041.83,1.05576,0.74802,1.18922,0.79066,0.65265,0.65704,0.37115,1.82466,1.2177,2.19906,0.0005348,0.0005348,0.0005348
76,7133.06,1.02236,0.72931,1.17714,0.79513,0.66721,0.67258,0.37677,1.80493,1.16447,2.19941,0.000515,0.000515,0.000515
77,7227.66,1.02006,0.73232,1.17993,0.79003,0.66074,0.6663,0.37504,1.79466,1.20559,2.20394,0.0004952,0.0004952,0.0004952
78,7319.84,1.00631,0.7156,1.1766,0.79225,0.66294,0.65946,0.37174,1.77847,1.17733,2.19982,0.0004754,0.0004754,0.0004754
79,7415.84,1.00503,0.71155,1.16695,0.79057,0.66948,0.66934,0.37149,1.80248,1.1618,2.19511,0.0004556,0.0004556,0.0004556
80,7508.28,1.00772,0.72303,1.1709,0.79937,0.65508,0.65935,0.37271,1.81415,1.22299,2.19245,0.0004358,0.0004358,0.0004358
81,7599.72,0.98706,0.68646,1.1484,0.79962,0.65843,0.66062,0.37531,1.79043,1.22003,2.17681,0.000416,0.000416,0.000416
82,7695.2,0.99083,0.698,1.16147,0.77456,0.67191,0.66007,0.37116,1.82302,1.16476,2.22664,0.0003962,0.0003962,0.0003962
83,7787.07,0.97033,0.68392,1.14542,0.79371,0.66206,0.65092,0.37019,1.817,1.24291,2.24151,0.0003764,0.0003764,0.0003764
84,7880.5,0.97264,0.67948,1.15211,0.80018,0.66426,0.66608,0.37489,1.81733,1.17786,2.24353,0.0003566,0.0003566,0.0003566
85,7974.03,0.97223,0.69017,1.1492,0.78839,0.66691,0.66532,0.37587,1.80956,1.21182,2.22018,0.0003368,0.0003368,0.0003368
